location,x_coord,y_coord,z_coord,orientation
PAL0153100301,69700,50300,1500,2
PAL0153100302,69700,51200,1500,2
PAL0153100303,69700,52100,1500,2
PAL0153100501,69700,50300,3000,2
PAL0153100502,69700,51200,3000,2
PAL0153100503,69700,52100,3000,2
PAL0153100701,69700,50300,4500,2
PAL0153100702,69700,51200,4500,2
PAL0153100703,69700,52100,4500,2
PAL0153100901,69700,50300,6000,2
PAL0153100902,69700,51200,6000,2
PAL0153100903,69700,52100,6000,2
PAL0153101101,69700,50300,7500,2
PAL0153101102,69700,51200,7500,2
PAL0153101103,69700,52100,7500,2
PAL0153101301,69700,50300,9000,2
PAL0153101302,69700,51200,9000,2
PAL0153101303,69700,52100,9000,2
PAL0153101501,69700,50300,10500,2
PAL0153101502,69700,51200,10500,2
PAL0153101503,69700,52100,10500,2
PAL0153120101,69700,53000,0,2
PAL0153120102,69700,53900,0,2
PAL0153120103,69700,54800,0,2
PAL0153120301,69700,53000,1500,2
PAL0153120302,69700,53900,1500,2
PAL0153120303,69700,54800,1500,2
PAL0153120501,69700,53000,3000,2
PAL0153120502,69700,53900,3000,2
PAL0153120503,69700,54800,3000,2
PAL0153120701,69700,53000,4500,2
PAL0153120702,69700,53900,4500,2
